data,who_made_it,topic,assessment,wp_assessment
"I ended the Nord Stream 2 pipeline, and Biden put it back on day one",Donald Trump,External issues,Needs context,Mostly false
It is well known that he said of Putin that he can do whatever the hell he wants and go into Ukraine,Kamala Harris,External issues,Needs context,Partly false
It is well known that he said when Russia went into Ukraine it was brilliant,Kamala Harris,External issues,Needs context,Trump did not use that exact word
It is well known he exchanged love letters with Kim Jong-Un,Kamala Harris,External issues,Needs context,"Trump called them “love letters"""
"We’re in for 250 billion [dollars] or more [in aid to Ukraine] because they don’t ask Europe, which is a much bigger beneficiary to getting this thing done than we are. (…) We’re in for 250 to 275 billion. They’re into a 100 to 150",Donald Trump,External issues,False,False
"He [NATO Secretary General Jens Stoltenberg] got these countries, the 28 countries at the time, to pay up, he said. I’ve never seen — he’s the head of NATO — he said ‘I’ve never seen.’ For years, we were paying almost all of NATO. We were being ripped off by European nations, both on trade and on NATO. I got them to pay up by saying one of the statements you made before, if you don’t pay, we’re not going to protect you, otherwise we would have never gotten it, he said. It was one of the most incredible jobs that he’s ever seen done",Donald Trump,External issues,False,No assessment
"And for 18 months, we had nobody killed [in Afghanistan]",Donald Trump,External issues,Needs context,Misleading
"We wouldn’t have left $85 billion worth of brand new, beautiful military equipment behind",Donald Trump,External issues,False,False
This is the same individual who took out a full-page ad in the New York Times calling for the execution of five young Black and Latino boys who were innocent. The Central Park Five — took out a full-page ad calling for their execution,Kamala Harris,The Central Park Five,False,The ad did not directly say this (but the message was strongly implied)
"I said, well, if they pled guilty, they badly hurt a person, kill the person ultimately. And if they pled guilty, then they pled we’re not guilty",Donald Trump,The Central Park Five,False,False
The former president has said that climate change is a hoax,Kamala Harris,Global issues,True,True
"We have created over 800,000 new manufacturing jobs (...) Donald Trump said he was going to create manufacturing jobs. He lost manufacturing jobs",Kamala Harris,Domestic issues,Exaggerated,Out of date
"They lost 10,000 manufacturing jobs this last month",Donald Trump,Domestic issues,Underestimated,Trump understates the loss
"Biden doesn’t go after people because supposedly China paid him millions of dollars. He’s afraid to do it between him and his son. They get all this money from Ukraine, they get all this money from all of these different countries. And then you wonder, why is he so loyal to this one? That one? Ukraine? China? Why did he get $3.5 million from the mayor of Moscow’s wife?",Donald Trump,External issues,False,False
I rebuilt our entire military,Donald Trump,Domestic issues,False,False
